"","id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
"1",1,"Logitech M510 Wireless mouse","HP 63 Ink","HP 65 ink","nonda USB C to USB Adapter","10ft iPHone Charger Cable","HP 902XL ink","Creative Pebble 2.0 Speakers","Cleaning Gel Universal Dust Cleaner","Micro Center 32GB Memory card","YUNSONG 3pack 6ft Nylon Lightning Cable","TopMate C5 Laptop Cooler pad","Apple USB-C Charger cable","HyperX Cloud Stinger Headset","TONOR USB Gaming Microphone","Dust-Off Compressed Gas 2 pack","3A USB Type C Cable 3 pack 6FT","HOVAMP iPhone charger","SanDisk Ultra 128GB card","FEEL2NICE 5 pack 10ft Lighning cable","FEIYOLD Blue light Blocking Glasses"
"2",2,"Apple Lightning to Digital AV Adapter","TP-Link AC1750 Smart WiFi Router","Apple Pencil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"UNEN Mfi Certified 5-pack Lightning Cable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"Cat8 Ethernet Cable","HP 65 ink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"Dust-Off Compressed Gas 2 pack","Screen Mom Screen Cleaner kit","Moread HDMI to VGA Adapter","HP 62XL Tri-Color ink","Apple USB-C Charger cable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"TopMate C5 Laptop Cooler pad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"Anker 2-in-1 USB Card Reader","USB 2.0 Printer cable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"10ft iPHone Charger Cable 2 Pack","Apple Lightning to USB cable","HP952XL ink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"Nylon Braided Lightning to USB cable","VIVO Dual LCD Monitor Desk mount","Apple USB-C Charger cable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"USB 2.0 Printer cable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
